PeakID (cmd=annotatePeaks.pl hyperDMR//specific_hyper_ESCC_Tumor.bed hg38 -cpu 4)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
13	chr2	17545660	17548056	+	0	NA	intron (NM_001366806, intron 1 of 3)	intron (NM_001366806, intron 1 of 3)	6162	NM_003385	7447	Hs.444212	NM_003385	ENSG00000163032	VSNL1	HLP3|HPCAL3|HUVISL1|VILIP|VILIP-1	visinin like 1	protein-coding
110	chr11	129141528	129142453	+	0	NA	intron (NM_001142685, intron 2 of 21)	intron (NM_001142685, intron 2 of 21)	50208	NM_001142685	9743	Hs.440379	NM_014715	ENSG00000134909	ARHGAP32	GC-GAP|GRIT|PX-RICS|RICS|p200RhoGAP|p250GAP	Rho GTPase activating protein 32	protein-coding
153	chr17	19651394	19651771	+	0	NA	exon (NM_001031806, exon 2 of 11)	exon (NM_001031806, exon 2 of 11)	2831	NM_001369139	224	Hs.499886	NM_000382	ENSG00000072210	ALDH3A2	ALDH10|FALDH|SLS	aldehyde dehydrogenase 3 family member A2	protein-coding
67	chr7	100802875	100804143	+	0	NA	exon (NM_004444, exon 17 of 17)	exon (NM_004444, exon 17 of 17)	-23360	NM_001363494	56996	Hs.521087	NM_020246	ENSG00000146828	SLC12A9	CCC6|CIP1|WO3.3|hCCC6	solute carrier family 12 member 9	protein-coding
106	chr11	34600965	34604199	+	0	NA	Intergenic	Intergenic	-18511	NM_001206615	26298	Hs.653859	NM_012153	ENSG00000135373	EHF	ESE3|ESE3B|ESEJ	ETS homologous factor	protein-coding
26	chr2	113118128	113118961	+	0	NA	intron (NM_000577, intron 1 of 4)	MER102c|DNA|hAT-Charlie	573	NM_173843	3557	Hs.81134	NM_000577	ENSG00000136689	IL1RN	DIRA|ICIL-1RA|IL-1RN|IL-1ra|IL-1ra3|IL1F3|IL1RA|IRAP|MVCD4	interleukin 1 receptor antagonist	protein-coding
154	chr18	58211292	58212384	+	0	NA	intron (NM_001144970, intron 1 of 28)	L1ME3G|LINE|L1	-9733	NM_001144966	23327	Hs.185677	NM_015277	ENSG00000049759	NEDD4L	NEDD4-2|NEDD4.2|PVNH7|RSP5|hNEDD4-2	NEDD4 like E3 ubiquitin protein ligase	protein-coding
51	chr5	126364939	126366360	+	0	NA	intron (NM_001146319, intron 1 of 13)	MER63A|DNA|hAT-Blackjack	5529	NM_001146319	65983	Hs.363558	NM_023927	ENSG00000155324	GRAMD2B	GRAMD3|NS3TP2	GRAM domain containing 2B	protein-coding
69	chr7	130914595	130920395	+	0	NA	intron (NR_109780, intron 3 of 3)	intron (NR_109780, intron 3 of 3)	4031	NR_109780	100506860	Hs.635013	NR_109780		LINC00513	-	long intergenic non-protein coding RNA 513	ncRNA
77	chr7	130939250	130940714	+	0	NA	Intergenic	Intergenic	26518	NR_109780	100506860	Hs.635013	NR_109780		LINC00513	-	long intergenic non-protein coding RNA 513	ncRNA
79	chr8	118103399	118104461	+	0	NA	intron (NM_000127, intron 1 of 10)	intron (NM_000127, intron 1 of 10)	7889	NM_000127	2131	Hs.492618	NM_000127	ENSG00000182197	EXT1	EXT|LGCR|LGS|TRPS2|TTV	exostosin glycosyltransferase 1	protein-coding
3	chr1	234601161	234601855	+	0	NA	Intergenic	Intergenic	8017	NM_001077397	359948	Hs.350268	NM_182972	ENSG00000168264	IRF2BP2	CVID14	interferon regulatory factor 2 binding protein 2	protein-coding
143	chr17	48579843	48580895	+	0	NA	promoter-TSS (NR_029608)	promoter-TSS (NR_029608)	-422	NR_029608	406902		NR_029608	ENSG00000284038	MIR10A	MIRN10A|hsa-mir-10a|miRNA10A|mir-10a	microRNA 10a	ncRNA
63	chr7	77691133	77695003	+	0	NA	intron (NR_134251, intron 1 of 3)	L2|LINE|L2	3197	NR_134253	100505854	Hs.72451	NR_038361	ENSG00000214293	APTR	RSBN1L-AS1	Alu-mediated CDKN1A/p21 transcriptional regulator	ncRNA
144	chr17	66447928	66448630	+	0	NA	intron (NM_002737, intron 2 of 16)	intron (NM_002737, intron 2 of 16)	-31425	NR_110822	101928001	Hs.650730	NR_110822		PRKCA-AS1	-	PRKCA antisense RNA 1	ncRNA
81	chr8	86355067	86355904	+	0	NA	intron (NM_007013, intron 1 of 24)	intron (NM_007013, intron 1 of 24)	12938	NM_007013	11059	Hs.655189	NM_007013	ENSG00000123124	WWP1	AIP5|Tiul1|hSDRP1	WW domain containing E3 ubiquitin protein ligase 1	protein-coding
73	chr7	25948921	25950143	+	0	NA	TTS (NR_029597)	TTS (NR_029597)	454	NR_029597	406940		NR_029597	ENSG00000199085	MIR148A	MIRN148|MIRN148A|hsa-mir-148|mir-148a	microRNA 148a	ncRNA
166	chr20	535697	536930	+	0	NA	intron (NM_001362770, intron 1 of 14)	intron (NM_001362770, intron 1 of 14)	7477	NM_177559	1457	Hs.644056	NM_001895	ENSG00000101266	CSNK2A1	CK2A1|CKII|Cka1|Cka2|OCNDS	casein kinase 2 alpha 1	protein-coding
20	chr2	160252549	160254159	+	0	NA	Intergenic	Intergenic	18541	NR_103775	100505984	Hs.729532	NR_103775	ENSG00000285373	LINC02478	-	long intergenic non-protein coding RNA 2478	ncRNA
58	chr6	132510908	132512010	+	0	NA	intron (NM_001326579, intron 1 of 9)	L2a|LINE|L2	1324	NM_001326578	8417	Hs.593148	NM_003569	ENSG00000079950	STX7	-	syntaxin 7	protein-coding
19	chr2	173956835	173958574	+	0	NA	intron (NM_003111, intron 3 of 6)	intron (NM_003111, intron 3 of 6)	6176	NM_001017371	6670	Hs.531587	NM_003111	ENSG00000172845	SP3	SPR2	Sp3 transcription factor	protein-coding
17	chr2	54579238	54580279	+	0	NA	intron (NM_178313, intron 1 of 30)	intron (NM_178313, intron 1 of 30)	21364	NM_178313	6711	Hs.503178	NM_003128	ENSG00000115306	SPTBN1	ELF|HEL102|SPTB2|betaSpII	spectrin beta, non-erythrocytic 1	protein-coding
107	chr11	67268305	67270813	+	0	NA	intron (NM_001619, intron 1 of 20)	intron (NM_001619, intron 1 of 20)	3086	NM_001619	156	Hs.83636	NM_001619	ENSG00000173020	GRK2	ADRBK1|BARK1|BETA-ARK1	G protein-coupled receptor kinase 2	protein-coding
165	chr20	58394452	58395110	+	0	NA	intron (NR_036633, intron 1 of 3)	intron (NR_036633, intron 1 of 3)	5552	NR_036633	9217	Hs.182625	NM_004738	ENSG00000124164	VAPB	ALS8|VAMP-B|VAP-B	VAMP associated protein B and C	protein-coding
44	chr4	41132181	41134836	+	0	NA	intron (NM_173075, intron 2 of 16)	intron (NM_173075, intron 2 of 16)	81034	NM_173075	323	Hs.479602	NM_004307	ENSG00000163697	APBB2	FE65L|FE65L1	amyloid beta precursor protein binding family B member 2	protein-coding
99	chr10	74921868	74923838	+	0	NA	intron (NR_134476, intron 1 of 1)	MER113A|DNA|hAT-Charlie	10067	NR_134476	101929165	Hs.670533	NR_134476		LOC101929165	-	uncharacterized LOC101929165	ncRNA
97	chr10	89204942	89205973	+	0	NA	TTS (NM_003956)	TTS (NM_003956)	1860	NM_003956	9023	Hs.47357	NM_003956	ENSG00000138135	CH25H	C25H	cholesterol 25-hydroxylase	protein-coding
82	chr8	17337821	17338586	+	0	NA	intron (NM_004686, intron 6 of 13)	intron (NM_004686, intron 6 of 13)	75148	NM_004686	9108	Hs.625674	NM_004686	ENSG00000003987	MTMR7	-	myotubularin related protein 7	protein-coding
149	chr17	75696437	75697703	+	0	NA	intron (NR_126037, intron 4 of 8)	AluY|SINE|Alu	-24389	NM_000213	3691	Hs.632226	NM_000213	ENSG00000132470	ITGB4	CD104|GP150	integrin subunit beta 4	protein-coding
172	chr21	15659227	15660880	+	0	NA	Intergenic	Intergenic	-69881	NM_001283041	29761	Hs.743994	NM_013396	ENSG00000155313	USP25	USP21	ubiquitin specific peptidase 25	protein-coding
35	chr3	71127493	71129269	+	0	NA	intron (NR_146142, intron 6 of 19)	intron (NR_146142, intron 6 of 19)	2205	NM_001370548	27086	Hs.59368	NM_032682	ENSG00000114861	FOXP1	12CC4|HSPC215|MFH|QRF1|hFKH1B	forkhead box P1	protein-coding
141	chr16	9098321	9099637	+	0	NA	intron (NM_014117, intron 2 of 3)	intron (NM_014117, intron 2 of 3)	7335	NM_014117	29035	Hs.221497	NM_014117	ENSG00000182831	C16orf72	PRO0149	chromosome 16 open reading frame 72	protein-coding
93	chr10	52376839	52379472	+	0	NA	Intergenic	Intergenic	63874	NM_012242	22943	Hs.40499	NM_012242	ENSG00000107984	DKK1	DKK-1|SK	dickkopf WNT signaling pathway inhibitor 1	protein-coding
167	chr20	11917274	11918559	+	0	NA	promoter-TSS (NM_001282551)	promoter-TSS (NM_001282551)	23	NM_014962	22903	Hs.709366	NM_014962	ENSG00000132640	BTBD3	dJ742J24.1	BTB domain containing 3	protein-coding
105	chr11	27395489	27396677	+	0	NA	intron (NM_001346432, intron 1 of 16)	MIRb|SINE|MIR	-32835	NM_080654	91057	Hs.143733	NM_030771	ENSG00000109881	CCDC34	L15|NY-REN-41|RAMA3	coiled-coil domain containing 34	protein-coding
52	chr6	3409925	3411090	+	0	NA	intron (NM_021945, intron 3 of 10)	intron (NM_021945, intron 3 of 10)	34506	NR_104448	63027	Hs.713588	NM_015482	ENSG00000137266	SLC22A23	C6orf85	solute carrier family 22 member 23	protein-coding
159	chr19	47512605	47513778	+	0	NA	intron (NM_003827, intron 1 of 10)	intron (NM_003827, intron 1 of 10)	1872	NM_003827	8775	Hs.126938	NM_003827	ENSG00000105402	NAPA	SNAPA	NSF attachment protein alpha	protein-coding
132	chr14	73753374	73754836	+	0	NA	intron (NM_001043318, intron 1 of 11)	intron (NM_001043318, intron 1 of 11)	-4642	NR_039727	100616158		NR_039727	ENSG00000264741	MIR4505	mir-4505	microRNA 4505	ncRNA
151	chr17	715981	716881	+	0	NA	Intergenic	Intergenic	-1592	NM_001366253	55275	Hs.461819	NM_018289	ENSG00000141252	VPS53	HCCS1|PCH2E|hVps53L|pp13624	VPS53 subunit of GARP complex	protein-coding
34	chr3	169659545	169661416	+	0	NA	intron (NM_001366473, intron 1 of 15)	intron (NM_001366473, intron 1 of 15)	3232	NM_004991	2122	Hs.656395	NM_004991	ENSG00000085276	MECOM	AML1-EVI-1|EVI1|KMT8E|MDS1|MDS1-EVI1|PRDM3|RUSAT2	MDS1 and EVI1 complex locus	protein-coding
45	chr4	110627449	110628441	+	0	NA	intron (NM_001204399, intron 2 of 3)	intron (NM_001204399, intron 2 of 3)	-4868	NM_000325	5308	Hs.643588	NM_000325	ENSG00000164093	PITX2	ARP1|ASGD4|Brx1|IDG2|IGDS|IGDS2|IHG2|IRID2|Otlx2|PTX2|RGS|RIEG|RIEG1|RS	paired like homeodomain 2	protein-coding
120	chr12	53989651	53990780	+	0	NA	TTS (NM_017409)	TTS (NM_017409)	-1523	NR_029617	406973		NR_029617	ENSG00000207924	MIR196A2	MIRN196-2|MIRN196A2|mir-196a-2	microRNA 196a-2	ncRNA
2	chr1	234627647	234628504	+	0	NA	Intergenic	Intergenic	-1236	NR_033927	100302691	Hs.209162	NR_033927	ENSG00000224939	LINC00184	HANC|NCRNA00184	long intergenic non-protein coding RNA 184	ncRNA
169	chr20	22578178	22579252	+	0	NA	promoter-TSS (NR_001558)	promoter-TSS (NR_001558)	-73	NR_001558	140828	Hs.9842	NR_001558	ENSG00000259974	LINC00261	ALIEN|C20orf56|DEANR1|FALCOR|HCCDR1|NCRNA00261|TCONS_00027846|onco-lncRNA-17	long intergenic non-protein coding RNA 261	ncRNA
71	chr7	77686430	77688152	+	0	NA	intron (NR_134251, intron 1 of 3)	intron (NR_134251, intron 1 of 3)	8974	NR_134253	100505854	Hs.72451	NR_038361	ENSG00000214293	APTR	RSBN1L-AS1	Alu-mediated CDKN1A/p21 transcriptional regulator	ncRNA
18	chr2	238299603	238300775	+	0	NA	Intergenic	MER63B|DNA|hAT-Blackjack	-11579	NM_022817	8864	Hs.58756	NM_003894	ENSG00000132326	PER2	FASPS|FASPS1	period circadian regulator 2	protein-coding
83	chr8	122969520	122970396	+	0	NA	intron (NM_001362797, intron 4 of 4)	L3|LINE|CR1	55814	NM_001363963	79139	Hs.241576	NM_024295	ENSG00000136986	DERL1	DER-1|DER1|derlin-1	derlin 1	protein-coding
161	chr19	46209635	46210719	+	0	NA	promoter-TSS (NR_027003)	promoter-TSS (NR_027003)	-65	NR_027003	93429	Hs.569940	NR_027003	ENSG00000268460	LOC93429	-	uncharacterized LOC93429	ncRNA
61	chr6	6850898	6852124	+	0	NA	Intergenic	MLT1K|LTR|ERVL-MaLR	-228685	NR_026970	285780	Hs.655737	NM_173675	ENSG00000216863	LY86-AS1	LY86-AS|LY86AS	LY86 antisense RNA 1	ncRNA
59	chr6	10422996	10424946	+	0	NA	Intergenic	Intergenic	-3911	NM_001042425	7020	Hs.519880	NM_003220	ENSG00000137203	TFAP2A	AP-2|AP-2alpha|AP2TF|BOFS|TFAP2	transcription factor AP-2 alpha	protein-coding
157	chr18	13381640	13382656	+	0	NA	intron (NM_181482, intron 2 of 5)	intron (NM_181482, intron 2 of 5)	45386	NR_040031	100288122	Hs.646264	NR_040031	ENSG00000267690	LDLRAD4-AS1	-	LDLRAD4 antisense RNA 1	ncRNA
57	chr6	158034152	158035161	+	0	NA	intron (NM_003898, intron 4 of 26)	intron (NM_003898, intron 4 of 26)	17563	NM_001178088	8871	Hs.434494	NM_003898	ENSG00000078269	SYNJ2	INPP5H	synaptojanin 2	protein-coding
46	chr4	38669337	38671934	+	0	NA	intron (NM_016531, intron 1 of 5)	intron (NM_016531, intron 1 of 5)	-6007	NR_026804	79667	Hs.29725	NM_024614	ENSG00000231160	KLF3-AS1	-	KLF3 antisense RNA 1	ncRNA
30	chr2	27765703	27766621	+	0	NA	Intergenic	Intergenic	-5555	NM_145330	9553	Hs.515879	NM_004891	ENSG00000243147	MRPL33	C2orf1|L33mt|MRP-L33|RPL33L	mitochondrial ribosomal protein L33	protein-coding
170	chr21	41169808	41170487	+	0	NA	intron (NM_138991, intron 1 of 7)	L3|LINE|CR1	1987	NM_138991	25825	Hs.43047	NM_012105	ENSG00000182240	BACE2	AEPLC|ALP56|ASP1|ASP21|BAE2|CDA13|CEAP1|DRAP	beta-secretase 2	protein-coding
145	chr17	1347828	1348839	+	0	NA	intron (NM_006761, intron 5 of 5)	intron (NM_006761, intron 5 of 5)	51889	NM_006761	7531	Hs.513851	NM_006761	ENSG00000108953	YWHAE	14-3-3E|HEL2|KCIP-1|MDCR|MDS	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon	protein-coding
130	chr14	50364916	50366030	+	0	NA	intron (NM_001282236, intron 2 of 8)	intron (NM_001282236, intron 2 of 8)	31408	NM_004196	8814	Hs.280881	NM_004196	ENSG00000100490	CDKL1	KKIALRE|P42	cyclin dependent kinase like 1	protein-coding
101	chr10	114523407	114524344	+	0	NA	intron (NM_001352440, intron 6 of 20)	intron (NM_001352440, intron 6 of 20)	3038	NM_001322893	3983	Hs.438236	NM_002313	ENSG00000099204	ABLIM1	ABLIM|LIMAB1|LIMATIN|abLIM-1	actin binding LIM protein 1	protein-coding
78	chr7	121990926	121992213	+	0	NA	intron (NM_001206839, intron 8 of 28)	intron (NM_001206839, intron 8 of 28)	118408	NM_001369395	5803	Hs.489824	NM_002851	ENSG00000106278	PTPRZ1	HPTPZ|HPTPzeta|PTP-ZETA|PTP18|PTPRZ|PTPZ|R-PTP-zeta-2|RPTPB|RPTPbeta|phosphacan	protein tyrosine phosphatase receptor type Z1	protein-coding
11	chr1	168387096	168387724	+	0	NA	Intergenic	Intergenic	11886	NR_030284	693142		NR_030284	ENSG00000207974	MIR557	MIRN557|hsa-mir-557	microRNA 557	ncRNA
109	chr11	35005616	35006515	+	0	NA	Intergenic	MER63C|DNA|hAT-Blackjack	64228	NR_039836	100616437		NR_039836	ENSG00000251862	MIR1343	-	microRNA 1343	ncRNA
155	chr18	22838755	22840279	+	0	NA	Intergenic	Intergenic	-52680	NR_110782	101927571	Hs.335020	NR_110782	ENSG00000266850	LOC101927571	-	uncharacterized LOC101927571	ncRNA
118	chr12	47276087	47276664	+	0	NA	Intergenic	AluSz6|SINE|Alu	31024	NR_135024	105369747	Hs.88617	NR_135024		LOC105369747	-	uncharacterized LOC105369747	ncRNA
68	chr7	27120902	27123265	+	0	NA	intron (NR_122069, intron 1 of 3)	intron (NR_122069, intron 1 of 3)	164	NR_122069	285943	Hs.714774	NR_122069		HOXA-AS2	HOXA3as	HOXA cluster antisense RNA 2	ncRNA
87	chr9	93455953	93457425	+	0	NA	intron (NM_001286723, intron 1 of 9)	intron (NM_001286723, intron 1 of 9)	-3088	NR_136230	158293	Hs.350364	NM_198841	ENSG00000188938	FAM120AOS	C9orf10OS	family with sequence similarity 120A opposite strand	protein-coding
122	chr13	29548294	29548898	+	0	NA	intron (NM_003045, intron 2 of 12)	intron (NM_003045, intron 2 of 12)	47092	NM_003045	6541	Hs.14846	NM_003045	ENSG00000139514	SLC7A1	ATRC1|CAT-1|ERR|HCAT1|REC1L	solute carrier family 7 member 1	protein-coding
89	chr9	98168386	98169701	+	0	NA	intron (NM_052820, intron 1 of 11)	intron (NM_052820, intron 1 of 11)	3849	NM_003389	7464	Hs.113094	NM_003389	ENSG00000106789	CORO2A	CLIPINB|IR10|WDR2	coronin 2A	protein-coding
40	chr3	8965188	8966623	+	0	NA	Intergenic	L2a|LINE|L2	-2433	NM_020165	56852	Hs.375684	NM_020165	ENSG00000070950	RAD18	RNF73	RAD18 E3 ubiquitin protein ligase	protein-coding
36	chr3	190594695	190595643	+	0	NA	intron (NR_157352, intron 3 of 10)	L2a|LINE|L2	81084	NR_157352	3556	Hs.478673	NM_002182	ENSG00000196083	IL1RAP	C3orf13|IL-1RAcP|IL1R3	interleukin 1 receptor accessory protein	protein-coding
53	chr6	113573662	113574644	+	0	NA	Intergenic	L2c|LINE|L2	75922	NR_125844	101927686	Hs.402044	NR_125844	ENSG00000230943	LINC02541	-	long intergenic non-protein coding RNA 2541	ncRNA
147	chr17	28646119	28646487	+	0	NA	Intergenic	Intergenic	-1144	NM_001363826	9703	Hs.151761	NM_014680	ENSG00000007202	KIAA0100	BCOX|BCOX1|CT101|FMP27	KIAA0100	protein-coding
92	chr9	113222595	113223366	+	0	NA	intron (NM_001859, intron 1 of 4)	Tigger13a|DNA|TcMar-Tigger	1436	NM_001859	1317	Hs.532315	NM_001859	ENSG00000136868	SLC31A1	COPT1|CTR1	solute carrier family 31 member 1	protein-coding
