PeakID (cmd=annotatePeaks.pl hyperDMR//specific_hyper_EAC_Tumor.bed hg38 -cpu 4)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
89	chr13	45206082	45208018	+	0	NA	intron (NM_004128, intron 4 of 7)	intron (NM_004128, intron 4 of 7)	-6005	NM_198404	386618	Hs.23406	NM_198404	ENSG00000180332	KCTD4	bA321C24.3	potassium channel tetramerization domain containing 4	protein-coding
90	chr13	28558272	28558992	+	0	NA	Intergenic	Intergenic	-63504	NM_001159920	2321	Hs.594454	NM_002019	ENSG00000102755	FLT1	FLT|FLT-1|VEGFR-1|VEGFR1	fms related tyrosine kinase 1	protein-coding
5	chr1	94864564	94865702	+	0	NA	intron (NM_001258340, intron 11 of 14)	intron (NM_001258340, intron 11 of 14)	40640	NM_001350223	126969	Hs.483423	NM_152369	ENSG00000143036	SLC44A3	CTL3	solute carrier family 44 member 3	protein-coding
29	chr2	202801712	202802595	+	0	NA	intron (NM_001288623, intron 9 of 12)	L1MEd|LINE|L1	27081	NM_001288624	130026	Hs.516629	NM_138468	ENSG00000163596	ICA1L	ALS2CR14|ALS2CR15	islet cell autoantigen 1 like	protein-coding
73	chr10	62818427	62819159	+	0	NA	intron (NM_001136178, intron 1 of 3)	CpG-2954	374	NM_001136178	1959	Hs.1395	NM_000399	ENSG00000122877	EGR2	AT591|CHN1|CMT1D|CMT4E|KROX20	early growth response 2	protein-coding
18	chr2	101185265	101185974	+	0	NA	Intergenic	Intergenic	33959	NR_135594	100506286	Hs.679790	NR_135594	ENSG00000272902	TBC1D8-AS1	-	TBC1 domain family member 8 antisense RNA 1	ncRNA
35	chr3	11557526	11559137	+	0	NA	TTS (NM_006395)	TTS (NM_006395)	10467	NM_001128221	9686	Hs.740389	NM_014667	ENSG00000144560	VGLL4	VGL-4	vestigial like family member 4	protein-coding
50	chr5	53036602	53038277	+	0	NA	intron (NR_073106, intron 2 of 29)	intron (NR_073106, intron 2 of 29)	48087	NR_073103	3673	Hs.482077	NM_002203	ENSG00000164171	ITGA2	BR|CD49B|GPIa|HPA-5|VLA-2|VLAA2	integrin subunit alpha 2	protein-coding
69	chr9	130665548	130665791	+	0	NA	intron (NM_021619, intron 1 of 4)	CpG-28907	1075	NM_021619	59335	Hs.495311	NM_021619	ENSG00000130711	PRDM12	HSAN8|PFM9	PR/SET domain 12	protein-coding
38	chr3	169558141	169558818	+	0	NA	intron (NM_001366473, intron 1 of 15)	intron (NM_001366473, intron 1 of 15)	105233	NM_001366473	2122	Hs.656395	NM_004991	ENSG00000085276	MECOM	AML1-EVI-1|EVI1|KMT8E|MDS1|MDS1-EVI1|PRDM3|RUSAT2	MDS1 and EVI1 complex locus	protein-coding
15	chr2	96698275	96698464	+	0	NA	intron (NM_001293083, intron 40 of 52)	intron (NM_001293083, intron 40 of 52)	41707	NM_030805	81562	Hs.655743	NM_030805	ENSG00000114988	LMAN2L	MRT52|VIPL	lectin, mannose binding 2 like	protein-coding
9	chr1	230769096	230769483	+	0	NA	intron (NM_016452, intron 6 of 18)	intron (NM_016452, intron 6 of 18)	21901	NM_006615	10753	Hs.498021	NM_006615	ENSG00000135773	CAPN9	GC36|nCL-4	calpain 9	protein-coding
31	chr2	134301677	134302793	+	0	NA	intron (NM_001371457, intron 3 of 16)	MER58A|DNA|hAT-Charlie	48163	NM_002410	4249	Hs.4988	NM_002410	ENSG00000152127	MGAT5	GNT-V|GNT-VA|MGAT5A	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase	protein-coding
104	chr17	36937169	36940073	+	0	NA	intron (NM_005568, intron 1 of 4)	CpG-11024	1146	NM_005568	3975	Hs.443727	NM_005568	ENSG00000273706	LHX1	LIM-1|LIM1	LIM homeobox 1	protein-coding
11	chr1	206513555	206514067	+	0	NA	intron (NM_182664, intron 1 of 4)	intron (NM_182664, intron 1 of 4)	6280	NM_182663	83593	Hs.497579	NM_031437	ENSG00000266094	RASSF5	Maxp1|NORE1|NORE1A|NORE1B|RAPL|RASSF3	Ras association domain family member 5	protein-coding
92	chr13	27928846	27931517	+	0	NA	Intergenic	Intergenic	10181	NM_000209	3651	Hs.32938	NM_000209	ENSG00000139515	PDX1	GSF|IDX-1|IPF1|IUF1|MODY4|PAGEN1|PDX-1|STF-1	pancreatic and duodenal homeobox 1	protein-coding
110	chr17	42349051	42349916	+	0	NA	intron (NM_213662, intron 1 of 23)	intron (NM_213662, intron 1 of 23)	38959	NM_001369514	6774	Hs.463059	NM_003150	ENSG00000168610	STAT3	ADMIO|ADMIO1|APRF|HIES	signal transducer and activator of transcription 3	protein-coding
49	chr5	124261755	124262914	+	0	NA	intron (NR_125774, intron 4 of 5)	intron (NR_125774, intron 4 of 5)	176186	NR_125774	103724389	Hs.582211	NR_125774		LINC01170	-	long intergenic non-protein coding RNA 1170	ncRNA
